(* GENERATED by make_table: DO NOT EDIT! *)
\varsupsetneq ⊋︀
\frac56 ⅚
\emsp14  
\bsim ∽
\quest ?
\xrarr 
\nabla ∇
\tscr 𝓉
\nesear ⤨
\kappa κ
\HilbertSpace ℋ
\notinva ∉̸
\sqsube ⊑
\NotLessSlantEqual ≰
\hercon ⊹
\npreceq ⪯̸
\upsilon υ
\rmoust ⎱
\ggg ⋙
\cwint ∱
\copf 𝕔
\nvdash ⊬
\Lcaron Ľ
\Vdashl ⫦
\ofr 𝔬
\oint ∮
\NestedLessLess ≪
\ffilig ﬃ
\rightthreetimes ⋌
\gtrsim ≳
\angmsdad ⦫
\LeftUpVector ↿
\apacir ⩯
\urcrop ⌎
\LessTilde ≲
\dashv ⊣
\uarr ↑
\imath ı
\DoubleDot ¨
\nRightarrow ⇏
\colone ≔
\ngeqq ≱
\Jopf 𝕁
\sqcaps ⊓︀
\ldrushar ⥋
\nvge ≱
\qprime ⁗
\arccos arccos
\Bcy Б
\prec ≺
\UpArrow ↑
\ohbar ⦵
\capdot ⩀
\UpArrowBar ⤒
\Rsh ↱
\zfr 𝔷
\ufisht ⥾
\gtcir ⩺
\succnapprox ⋩
\nsubset ⊄
\bot ⊥
\tcedil ţ
\uopf 𝕦
\LeftTriangleBar ⧏
\downarrow ↓
\Ascr 𝒜
\Qfr 𝔔
\wr ≀
\varrho ϱ
\NoBreak ﻿
\otimesas ⨶
\TildeTilde ≈
\nang ∠̸
\ForAll ∀
\numero №
\CircleDot ⊙
\rpar )
\eDot ≑
\Lt ≪
\lsh ↰
\sscr 𝓈
\hybull ⁃
\odiv ⨸
\varsigma ς
\olcir ⦾
\wopf 𝕨
\amacr ā
\rfisht ⥽
\Jscr 𝒥
\NegativeMediumSpace  ︀
\Zdot Ż
\Proportion ∷
\gesdot ⪀
\kcedil ķ
\cir ○
\bigcup ⋃
\Esim ⩳
\CenterDot ·
\nsqsube ⋢
\NotTildeFullEqual ≇
\Oslash Ø
\frac45 ⅘
\gtdot ⋗
\NotSuperset ⊅
\loarr ⇽
\filig ﬁ
\cscr 𝒸
\hookleftarrow ↩
\rangle 〉
\bsol \
\LeftDownVectorBar ⥙
\eta η
\gE ≧
\cudarrr ⤵
\ShortDownArrow ⌄︀
\nwnear ⤧
\supsup ⫖
\lnap ⪉
\homtht ∻
\boxDr ╓
\lvertneqq ≨︀
\subnE ⊊
\iota ι
\horbar ―
\psi ψ
\swarhk ⤦
\rharu ⇀
\equest ≟
\boxv │
\RightTee ⊢
\boxVH ╬
\Sopf 𝕊
\ni ∋
\doublebarwedge ⌆
\lsime ⪍
\nleqslant ≰
\roang 
\scnE ⪶
\| |
\DoubleLongLeftRightArrow 
\LeftVector ↼
\trianglelefteq ⊴
\succapprox ≿
\macr ¯
\lharul ⥪
\ApplyFunction ⁡
\Map ⤅
\nscr 𝓃
\Dcaron Ď
\vzigzag ⦚
\naturals ℕ
\pluse ⩲
\nparsl ∥︀⃥
\cosh cosh
\vnsub ⊄
\Oacute Ó
\LeftTeeVector ⥚
\ncap ⩃
\lneqq ≨
\csub ⫏
\bopf 𝕓
\ovbar ⌽
\triangleright ▹
\shortparallel ∥︀
\timesb ⊠
\nwarrow ↖
\harr ↔
\backprime ‵
\rceil ⌉
\softcy ь
\Lang 《
\mopf 𝕞
\HumpEqual ≏
\esdot ≐
\CloseCurlyQuote ’
\Popf ℙ
\Pi Π
\els ⋜
\DifferentialD ⅆ
\SquareIntersection ⊓
\rfr 𝔯
\propto ∝
\angzarr ⍼
\succneqq ⪶
\there4 ∴
\sect §
\tilde ˜
\boxV ║
\scap ≿
\ldca ⤶
\rho ρ
\auml ä
\vsubne ⊊︀
\larrpl ⤹
\aleph ℵ
\Wopf 𝕎
\lsim ≲
\yacute ý
\Rscr ℛ
\succsim ≿
\Acirc Â
\dots …
\napos ŉ
\igrave ì
\curlywedge ⋏
\to →
\NotLess ≮
\Vopf 𝕍
\subsup ⫓
\npolint ⨔
\Gcy Г
\FilledSmallSquare ◾
\raemptyv ⦳
\lates ⪭︀
\Ccaron Č
\SquareSuperset ⊐
\demptyv ⦱
\Backslash ∖
\nvsim ≁̸
\ltcc ⪦
\Scy С
\bnequiv ≡⃥
\not ¬
\lozenge ◊
\Lfr 𝔏
\oscr ℴ
\ReverseEquilibrium ⇋
\Afr 𝔄
\topcir ⫱
\planckh ℎ
\abreve ă
\rBarr ⤏
